"music_title","difficulty_name","music_id","difficulty_id","count","played","comp","ex_comp","uc","per","grade_C","grade_B","grade_A","grade_Ap","grade_AA","grade_AAp","grade_AAA","grade_AAAp","grade_S","grade_995","grade_998","avg_score","sd_score","avg_skill_u8","avg_skill_9","avg_skill_10","avg_skill_11","avg_skill_12_n","avg_skill_12_g","avg_skill_12_h","avg_vf_u7","avg_vf_8_i_ii","avg_vf_8_iii_iv","avg_vf_9_i","avg_vf_9_ii","avg_vf_9_iii","avg_vf_9_iv","avg_vf_10_i","avg_vf_10_ii"
"Ha･lle･lu･jah","ADVANCED","11","2","725","87","404","21","131","82","725","719","654","569","508","449","326","254","187","148","99","9454205","576502","9761975","9155937","9554682","9553502","9384299","9055518","9600705","9531208","9553740","9186933","9315689","9471495","9441662","9273247","9515395","9825771",\N,\N
"Ha･lle･lu･jah","EXHAUST","11","3","1520","147","314","399","493","167","1512","1512","1512","1505","1488","1420","1341","1244","940","540","297","9831497","519099","9842619","9830959","9773495","9614231","9877639","9852748","9923114","9761038","9774223","9280356","9861765","9883210","9870404","9794978","9931170","9977683",\N,\N
"Ha･lle･lu･jah","INFINITE","11","5","1212","0","167","509","310","226","1212","1212","1212","1207","1202","1168","1098","1009","852","586","411","9894105","157154","9882636","9911095","9866477","9878409","9899844","9850334","9921911","9768813","9833678","9772143","9903126","9916362","9876544","9951814","9940945","9976020",\N,\N
"西日暮里の踊り","NOVICE","12","1","132","10","48","0","6","68","122","122","122","121","121","98","97","86","84","79","73","9102058","2588221","10000000","9401197","0","9883376","8522882","9550898","9909071","9714661","9981287","10000000","9716475","10000000","9916832","10000000","7062883","0",\N,\N
"西日暮里の踊り","ADVANCED","12","2","419","68","217","21","40","73","419","419","372","354","331","303","262","226","173","139","85","9590133","528383","9939125","9830215","9534094","9524425","9648035","9768185","9819544","9567353","9442758","9708628","9612075","9760301","9187913","9010579","9747211","9720452",\N,\N
"西日暮里の踊り","EXHAUST","12","3","1122","16","404","367","42","293","1122","1122","1113","1074","1022","987","931","832","608","472","397","9807849","296930","9963306","9276089","9672911","9846811","9820203","9763485","9779235","9755526","9757130","9863909","9796205","9785948","9784484","9795795","9850323","9771408",\N,\N
"西日暮里の踊り","INFINITE","12","5","1300","6","247","451","261","335","1300","1300","1300","1294","1290","1252","1198","1116","960","764","579","9907566","156927","9980510","9714386","9770655","9886760","9924765","9802964","9954809","9796293","9810003","9883593","9928643","9930627","9874416","9936559","9943104","9924183",\N,\N
"ナナイロ","NOVICE","13","1","139","0","50","0","6","83","139","139","139","127","117","111","105","93","93","89","84","9767517","375038","9978898","9067524","9557877","9984119","9668028","9702572","9754019","9878165","10000000","9926313","9858368","9966506","9212601","9221405","9891788","0",\N,\N
"ナナイロ","ADVANCED","13","2","349","46","157","11","102","33","349","346","305","289","230","201","183","170","142","107","59","9456754","642914","9944638","9241019","9307741","9443419","9429711","9161244","9640106","9537880","9103793","9736607","9636234","9269451","9158872","9535534","9668022","10000000",\N,\N
"ナナイロ","EXHAUST","13","3","922","116","138","71","384","213","921","921","910","901","880","852","830","793","732","587","396","9878284","319183","9987508","9784657","9850457","9780329","9889299","9902426","9920986","9811725","9692299","9744546","9865057","9928091","9908478","9815746","9957936","9764181",\N,\N
